name,reads_completed,reads_merged,sectors_read,time_reading_ms,writes_completed,writes_merged,sectors_written,time_writing_ms,io_in_progress,io_time_ms,weighted_io_time_ms
ram0,0,0,0,0,0,0,0,0,0,0,0
ram1,0,0,0,0,0,0,0,0,0,0,0
ram2,0,0,0,0,0,0,0,0,0,0,0
ram3,0,0,0,0,0,0,0,0,0,0,0
ram4,0,0,0,0,0,0,0,0,0,0,0
ram5,0,0,0,0,0,0,0,0,0,0,0
ram6,0,0,0,0,0,0,0,0,0,0,0
ram7,0,0,0,0,0,0,0,0,0,0,0
ram8,0,0,0,0,0,0,0,0,0,0,0
ram9,0,0,0,0,0,0,0,0,0,0,0
ram10,0,0,0,0,0,0,0,0,0,0,0
ram11,0,0,0,0,0,0,0,0,0,0,0
ram12,0,0,0,0,0,0,0,0,0,0,0
ram13,0,0,0,0,0,0,0,0,0,0,0
ram14,0,0,0,0,0,0,0,0,0,0,0
ram15,0,0,0,0,0,0,0,0,0,0,0
loop0,0,0,0,0,0,0,0,0,0,0,0
loop1,0,0,0,0,0,0,0,0,0,0,0
loop2,0,0,0,0,0,0,0,0,0,0,0
loop3,0,0,0,0,0,0,0,0,0,0,0
loop4,0,0,0,0,0,0,0,0,0,0,0
loop5,0,0,0,0,0,0,0,0,0,0,0
loop6,0,0,0,0,0,0,0,0,0,0,0
loop7,0,0,0,0,0,0,0,0,0,0,0
sdb,100,69,12946,85,0,0,0,0,0,68,85
sda,710,443,317562,774,0,0,0,0,0,660,774
sdc,87,0,3920,8,2,0,8,4,0,20,15
sdd,6711,3054,2868306,10466,1407,2791,59928,6242,0,98152,16918
